"Source","Indent Line","Ctrl+I","Editing Java Source"
"Run/Debug","Next Page of Memory","Ctrl+Shift+.","In Table Memory Rendering"
"Navigate","Open Call Hierarchy","Ctrl+Alt+H","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Navigate","Go to Line","Ctrl+L","Editing Text"
"Edit","Quick Diff Toggle","Ctrl+Shift+Q","Editing Text"
"Window","Next Editor","Ctrl+F6","In Windows"
"Source","Quick Assist - Assign to field","Ctrl+2, F","Editing Java Source"
"Views","Show View (View: Breakpoints)","Alt+Shift+Q, B","In Windows"
"Edit","Incremental Find Reverse","Ctrl+Shift+J","Editing Text"
"File","New menu","Alt+Shift+N","In Windows"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Navigate","Open Declaration","F3","In Windows"
"Text Editing","Insert Line Above Current Line","Ctrl+Shift+Enter","Editing Text"
"Edit","Copy","Ctrl+Insert","In Dialogs and Windows"
"Edit","Select All","Ctrl+A","In Dialogs and Windows"
"Views","Show View (View: Synchronize)","Alt+Shift+Q, Y","In Windows"
"Window","Maximize Active View or Editor","Ctrl+M","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Java Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Update Class diagram","F5","In Class Diagram Editor"
"Edit","Duplicate","Ctrl+Shift+D","Diagram Editing"
"Refactor - Java","Inline","Alt+Shift+I","In Windows"
"Run/Debug","Run AspectJ/Java Application","Alt+Shift+X, C","In Windows"
"View","Zoom In","Ctrl+=","In Windows"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Views","Show View","Alt+Shift+Q, Q","In Windows"
"Run/Debug","Debug JUnit Plug-in Test","Alt+Shift+D, P","In Windows"
"Refactor - Java","Move - Refactoring ","Alt+Shift+V","In Windows"
"Run/Debug","Run OSGi Framework","Alt+Shift+X, O","In Windows"
"Navigate","Open AspectJ Type in Hierarchy","Alt+Shift+H","In Windows"
"Navigate","Quick Hierarchy","Ctrl+T","Editing Java Source"
"Views","Show View (View: Problems)","Alt+Shift+Q, X","In Windows"
"Text Editing","Insert Line Below Current Line","Shift+Enter","Editing Text"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"Run/Debug","Next Memory Monitor","Ctrl+Alt+N","In Memory View"
"Window","Previous Editor","Ctrl+Shift+F6","In Windows"
"Source","Add Javadoc Comment","Alt+Shift+J","In Windows"
"Edit","Update Deployment diagram","F5","In Deployment Diagram Editor"
"Source","Add Import","Ctrl+Shift+M","Editing Java Source"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Run/Debug","All Instances","Ctrl+Shift+N","In Windows"
"Navigate","Quick Outline","Ctrl+O","PDE editor"
"Run/Debug","Previous Page of Memory","Ctrl+Shift+,","In Table Memory Rendering"
"Search","Find Text in Workspace","Ctrl+Alt+G","In Windows"
"Edit","Select Enclosing Element","Alt+Shift+Up","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Run/Debug","Debug Eclipse Application","Alt+Shift+D, E","In Windows"
"Navigate","&Quick Cross References","Alt+Shift+P","Editing Java Source"
"Navigate","Backward History","Alt+Left","In Windows"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Spy","Plug-in Spy","Alt+Shift+F1","In Dialogs and Windows"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Navigate","Quick Outline","Ctrl+O","Editing Java Source"
"Run/Debug","Run Java Application","Ctrl+F12","In Windows"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Run/Debug","Debug AspectJ/Java Application","Alt+Shift+D, C","In Windows"
"Window","Show Ruler Context Menu","Ctrl+F10","Editing Text"
"View","Zoom Out","Ctrl+-","In Windows"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Window","Activate Editor","F12","In Windows"
"Views","Show View (View: Cheat Sheets)","Alt+Shift+Q, H","In Windows"
"Run/Debug","Debug Ant Build","Alt+Shift+D, Q","In Windows"
"Run/Debug","Resume","F8","Debugging"
"Edit","Word Completion","Alt+/","Editing Text"
"Run/Debug","Run Java Applet","F10","In Windows"
"Edit","Find Previous","Ctrl+Shift+K","Editing Text"
"File","Properties","Alt+Enter","In Windows"
"Edit","Select Previous Element","Alt+Shift+Left","Editing Java Source"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Window","Quick Switch Editor","Ctrl+E","In Windows"
"Source","Toggle Comment","Ctrl+Shift+C","Editing Properties Files"
"Run/Debug","Close Rendering","Ctrl+W","In Memory View"
"Run/Debug","Run JUnit Test","Alt+Shift+X, T","In Windows"
"File","Refresh","F5","In Windows"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Text Editing","Delete to End of Line","Ctrl+Shift+Delete","Editing Text"
"Navigate","Open Resource","Ctrl+Shift+R","In Windows"
"File","Close All","Ctrl+Shift+F4","In Windows"
"Source","Format","Ctrl+Shift+F","Editing Ant Buildfiles"
"Help","Close User Assistance Tray","Ctrl+W","In Dialogs"
"Edit","Update Profile Definition diagram","F5","In Profile Definition Diagram Editor"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Navigate","Go to Next Member","Ctrl+Shift+Down","Editing Java Source"
"Run/Debug","Run Last Launched","F11","In Windows"
"Window","Quick Access","Ctrl+3","In Windows"
"Source","Remove Occurrence Annotations","Alt+Shift+U","Editing Java Source"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Window","Next View","Ctrl+F7","In Windows"
"Text Editing","Collapse All","Ctrl+Shift+Numpad_Divide","Editing Text"
"Text Editing","Line End","End","Editing Text"
"Navigate","Open Type Hierarchy","F4","In Windows"
"Run/Debug","Run to Line","Ctrl+R","Debugging"
"Source","Show Source Quick Menu","Alt+Shift+S","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Refactor - Java","Extract Local Variable","Alt+Shift+L","In Windows"
"Text Editing","To Upper Case","Ctrl+Shift+X","Editing Text"
"Navigate","Open AspectJ Type","Alt+Shift+A","In Windows"
"Text Editing","Move Lines Up","Alt+Up","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editing Java Source"
"Edit","Update Composite Structures diagram","F5","In Composite Structures Diagram Editor"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Edit","Delete","Delete","In Windows"
"Source","Organize Imports","Ctrl+Shift+O","In Windows"
"Source","Remove Block Comment","Ctrl+Shift+\","Editing Java Source"
"Navigate","Collapse All","Ctrl+Shift+Numpad_Divide","In Windows"
"Source","Toggle Mark Occurrences","Alt+Shift+O","Editing Java Source"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Navigate","Show In...","Alt+Shift+W","In Windows"
"Window","Show Key Assist","Ctrl+Shift+L","In Dialogs and Windows"
"Run/Debug","Toggle Breakpoint","Ctrl+Shift+B","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Text Editing","Next Word","Ctrl+Right","Editing Text"
"File","Rename","F2","In Windows"
"Navigate","Open Type","Ctrl+Shift+T","In Windows"
"Views","Show View (View: Hierarchy)","Alt+Shift+Q, T","In Windows"
"Window","Previous View","Ctrl+Shift+F7","In Windows"
"Search","References in Workspace","Ctrl+Shift+G","In Windows"
"Edit","Update Use Case diagram","F5","In Use Case Diagram Editor"
"File","New","Ctrl+N","In Windows"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Navigate","Open Plug-in Artifact","Ctrl+Shift+A","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Edit","Incremental Find","Ctrl+J","Editing Text"
"Refactor - Java","Rename - Refactoring ","Alt+Shift+R","In Windows"
"Search","Open Search Dialog","Ctrl+H","In Windows"
"Source","Rename In File","Alt+Shift+R","Editing Ant Buildfiles"
"Run/Debug","Display","Ctrl+Shift+D","In Dialogs and Windows"
"Edit","Toggle Insert Mode","Ctrl+Shift+Insert","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Edit","Paste","Shift+Insert","In Dialogs and Windows"
"Navigate","Open Type in Hierarchy","Ctrl+Shift+H","In Windows"
"Text Editing","Expand All","Ctrl+Numpad_Multiply","Editing Text"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Help","Close User Assistance Tray","Ctrl+F4","In Dialogs"
"Edit","Update State Machine diagram","F5","In State Machine Diagram Editor"
"Source","Format","Ctrl+Shift+F","Editing Java Source"
"Run/Debug","Debug Java Application","Alt+Shift+D, J","In Windows"
"Views","Show View (View: Declaration)","Alt+Shift+Q, D","In Windows"
"Edit","Find Next","Ctrl+K","Editing Text"
"Navigate","Show In Breadcrumb","Alt+Shift+B","Editor Breadcrumb Navigation"
"Window","Show View Menu","Ctrl+F10","In Dialogs and Windows"
"Run/Debug","Force Return","Alt+Shift+F","In Windows"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Navigate","Previous","Ctrl+,","In Windows"
"Run/Debug","New Rendering","Ctrl+N","In Memory View"
"Run/Debug","Step Return","F7","Debugging"
"Text Editing","Copy Lines","Ctrl+Alt+Down","Editing Text"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Alt+Shift+X, P","In Windows"
"Views","Show View (View: History)","Alt+Shift+Q, Z","In Windows"
"Window","Switch to Editor","Ctrl+Shift+E","In Windows"
"Run/Debug","Debug JUnit Test","Alt+Shift+D, T","In Windows"
"Views","Show View (View: Variables)","Alt+Shift+Q, V","In Windows"
